Zone Description,Zone Bits
Zone[1] - T441 Zone,Zone[1]
Zone[1] - T441 In Alarm,Zone[1].0
Zone[1] - T441 In Manual,Zone[1].1
Zone[2] - T442 Zone,Zone[2]
Zone[2] - T442 In Alarm,Zone[2].0
Zone[2] - T442 In Manual,Zone[2].1
Zone[3] - T443 Zone,Zone[3]
Zone[3] - T443 In Alarm,Zone[3].0
Zone[3] - T443 In Manual,Zone[3].1
Zone[4] - T444 Zone,Zone[4]
Zone[4] - T444 In Alarm,Zone[4].0
Zone[4] - T444 In Manual,Zone[4].1
Zone[5] - T445 Zone,Zone[5]
Zone[5] - T445 In Alarm,Zone[5].0
Zone[5] - T445 In Manual,Zone[5].1
Zone[6] - T446 Zone,Zone[6]
Zone[6] - T446 In Alarm,Zone[6].0
Zone[6] - T446 In Manual,Zone[6].1
Zone[7] - VM4H1 Zone,Zone[7]
Zone[7] - VM4H1 In Alarm,Zone[7].0
Zone[7] - VM4H1 In Manual,Zone[7].1
Zone[8] - VM4H2 Zone,Zone[8]
Zone[8] - VM4H2 In Alarm,Zone[8].0
Zone[8] - VM4H2 In Manual,Zone[8].1
Zone[9] - T343-VM3 Zone,Zone[9]
Zone[9] - T343-VM3 In Alarm,Zone[9].0
Zone[9] - T343-VM3 In Manual,Zone[9].1
Zone[10] - T343-VM4 Zone,Zone[10]
Zone[10] - T343-VM4 In Alarm,Zone[10].0
Zone[10] - T343-VM4 In Manual,Zone[10].1
Zone[11] - T324 Zone,Zone[11]
Zone[11] - T324 In Alarm,Zone[11].0
Zone[11] - T324 In Manual,Zone[11].1
Zone[12] - T323 Zone,Zone[12]
Zone[12] - T323 In Alarm,Zone[12].0
Zone[12] - T323 In Manual,Zone[12].1
Zone[13] - SLES Zone,Zone[13]
Zone[13] - SLES In Alarm,Zone[13].0
Zone[13] - SLES In Manual,Zone[13].1
Zone[14] - T325-VM4 Zone,Zone[14]
Zone[14] - T325-VM4 In Alarm,Zone[14].0
Zone[14] - T325-VM4 In Manual,Zone[14].1
Zone[15] - T325-VM3 Zone,Zone[15]
Zone[15] - T325-VM3 In Alarm,Zone[15].0
Zone[15] - T325-VM3 In Manual,Zone[15].1
Zone[16] -  Zone,Zone[16]
Zone[16] -  In Alarm,Zone[16].0
Zone[16] -  In Manual,Zone[16].1
Zone[17] - T218 Zone,Zone[17]
Zone[17] - T218 In Alarm,Zone[17].0
Zone[17] - T218 In Manual,Zone[17].1
Zone[18] - T202 Zone,Zone[18]
Zone[18] - T202 In Alarm,Zone[18].0
Zone[18] - T202 In Manual,Zone[18].1
Zone[19] - T312 Zone,Zone[19]
Zone[19] - T312 In Alarm,Zone[19].0
Zone[19] - T312 In Manual,Zone[19].1
Zone[20] - T326 Zone,Zone[20]
Zone[20] - T326 In Alarm,Zone[20].0
Zone[20] - T326 In Manual,Zone[20].1
Zone[21] - Filler5A Zone,Zone[21]
Zone[21] - Filler5A In Alarm,Zone[21].0
Zone[21] - Filler5A In Manual,Zone[21].1
Zone[22] - Filler5B Zone,Zone[22]
Zone[22] - Filler5B In Alarm,Zone[22].0
Zone[22] - Filler5B In Manual,Zone[22].1
Zone[23] - T201 Zone,Zone[23]
Zone[23] - T201 In Alarm,Zone[23].0
Zone[23] - T201 In Manual,Zone[23].1
Zone[24] -  Zone,Zone[24]
Zone[24] -  In Alarm,Zone[24].0
Zone[24] -  In Manual,Zone[24].1
Zone[25] - T219 Zone,Zone[25]
Zone[25] - T219 In Alarm,Zone[25].0
Zone[25] - T219 In Manual,Zone[25].1
Zone[26] - T322 Zone,Zone[26]
Zone[26] - T322 In Alarm,Zone[26].0
Zone[26] - T322 In Manual,Zone[26].1
Zone[27] - T315 Zone,Zone[27]
Zone[27] - T315 In Alarm,Zone[27].0
Zone[27] - T315 In Manual,Zone[27].1
Zone[28] - T314 Zone,Zone[28]
Zone[28] - T314 In Alarm,Zone[28].0
Zone[28] - T314 In Manual,Zone[28].1
Zone[29] - T313 Zone,Zone[29]
Zone[29] - T313 In Alarm,Zone[29].0
Zone[29] - T313 In Manual,Zone[29].1
Zone[30] -  Zone,Zone[30]
Zone[30] -  In Alarm,Zone[30].0
Zone[30] -  In Manual,Zone[30].1
Zone[31] - T203 Zone,Zone[31]
Zone[31] - T203 In Alarm,Zone[31].0
Zone[31] - T203 In Manual,Zone[31].1
Zone[32] -  Zone,Zone[32]
Zone[32] -  In Alarm,Zone[32].0
Zone[32] -  In Manual,Zone[32].1
Zone[33] - T319 Zone,Zone[33]
Zone[33] - T319 In Alarm,Zone[33].0
Zone[33] - T319 In Manual,Zone[33].1
Zone[34] -  Zone,Zone[34]
Zone[34] -  In Alarm,Zone[34].0
Zone[34] -  In Manual,Zone[34].1
Zone[35] - Filler5C Zone,Zone[35]
Zone[35] - Filler5C In Alarm,Zone[35].0
Zone[35] - Filler5C In Manual,Zone[35].1
Zone[36] - Filler6 Zone,Zone[36]
Zone[36] - Filler6 In Alarm,Zone[36].0
Zone[36] - Filler6 In Manual,Zone[36].1
Zone[37] - T204 Zone,Zone[37]
Zone[37] - T204 In Alarm,Zone[37].0
Zone[37] - T204 In Manual,Zone[37].1
Zone[38] - T205 Zone,Zone[38]
Zone[38] - T205 In Alarm,Zone[38].0
Zone[38] - T205 In Manual,Zone[38].1
Zone[39] - T206 Zone,Zone[39]
Zone[39] - T206 In Alarm,Zone[39].0
Zone[39] - T206 In Manual,Zone[39].1
Zone[40] - T207 Zone,Zone[40]
Zone[40] - T207 In Alarm,Zone[40].0
Zone[40] - T207 In Manual,Zone[40].1
Zone[41] - T208 Zone,Zone[41]
Zone[41] - T208 In Alarm,Zone[41].0
Zone[41] - T208 In Manual,Zone[41].1
Zone[42] -  Zone,Zone[42]
Zone[42] -  In Alarm,Zone[42].0
Zone[42] -  In Manual,Zone[42].1
Zone[43] - T301 Zone,Zone[43]
Zone[43] - T301 In Alarm,Zone[43].0
Zone[43] - T301 In Manual,Zone[43].1
Zone[44] - T302 Zone,Zone[44]
Zone[44] - T302 In Alarm,Zone[44].0
Zone[44] - T302 In Manual,Zone[44].1
Zone[45] - T303 Zone,Zone[45]
Zone[45] - T303 In Alarm,Zone[45].0
Zone[45] - T303 In Manual,Zone[45].1
Zone[46] - T304 Zone,Zone[46]
Zone[46] - T304 In Alarm,Zone[46].0
Zone[46] - T304 In Manual,Zone[46].1
Zone[47] -  Zone,Zone[47]
Zone[47] -  In Alarm,Zone[47].0
Zone[47] -  In Manual,Zone[47].1
Zone[48] - T306 Zone,Zone[48]
Zone[48] - T306 In Alarm,Zone[48].0
Zone[48] - T306 In Manual,Zone[48].1
Zone[49] - T307 Zone,Zone[49]
Zone[49] - T307 In Alarm,Zone[49].0
Zone[49] - T307 In Manual,Zone[49].1
Zone[50] - T308 Zone,Zone[50]
Zone[50] - T308 In Alarm,Zone[50].0
Zone[50] - T308 In Manual,Zone[50].1
Zone[51] -  Zone,Zone[51]
Zone[51] -  In Alarm,Zone[51].0
Zone[51] -  In Manual,Zone[51].1
Zone[52] -  Zone,Zone[52]
Zone[52] -  In Alarm,Zone[52].0
Zone[52] -  In Manual,Zone[52].1
Zone[53] -  Zone,Zone[53]
Zone[53] -  In Alarm,Zone[53].0
Zone[53] -  In Manual,Zone[53].1
Zone[54] -  Zone,Zone[54]
Zone[54] -  In Alarm,Zone[54].0
Zone[54] -  In Manual,Zone[54].1
Zone[55] - T341 Zone,Zone[55]
Zone[55] - T341 In Alarm,Zone[55].0
Zone[55] - T341 In Manual,Zone[55].1
Zone[56] - T342-VM3 Zone,Zone[56]
Zone[56] - T342-VM3 In Alarm,Zone[56].0
Zone[56] - T342-VM3 In Manual,Zone[56].1
Zone[57] - T342-VM4 Zone,Zone[57]
Zone[57] - T342-VM4 In Alarm,Zone[57].0
Zone[57] - T342-VM4 In Manual,Zone[57].1
Zone[58] - T344 Zone,Zone[58]
Zone[58] - T344 In Alarm,Zone[58].0
Zone[58] - T344 In Manual,Zone[58].1
Zone[59] - T501 Zone,Zone[59]
Zone[59] - T501 In Alarm,Zone[59].0
Zone[59] - T501 In Manual,Zone[59].1
Zone[60] - T502 Zone,Zone[60]
Zone[60] - T502 In Alarm,Zone[60].0
Zone[60] - T502 In Manual,Zone[60].1
Zone[61] - T504 Zone,Zone[61]
Zone[61] - T504 In Alarm,Zone[61].0
Zone[61] - T504 In Manual,Zone[61].1
Zone[62] - T505 Zone,Zone[62]
Zone[62] - T505 In Alarm,Zone[62].0
Zone[62] - T505 In Manual,Zone[62].1
Zone[63] - T506 Zone,Zone[63]
Zone[63] - T506 In Alarm,Zone[63].0
Zone[63] - T506 In Manual,Zone[63].1
Zone[64] - T601 Zone,Zone[64]
Zone[64] - T601 In Alarm,Zone[64].0
Zone[64] - T601 In Manual,Zone[64].1
Zone[65] - T602 Zone,Zone[65]
Zone[65] - T602 In Alarm,Zone[65].0
Zone[65] - T602 In Manual,Zone[65].1
Zone[66] - T603 Zone,Zone[66]
Zone[66] - T603 In Alarm,Zone[66].0
Zone[66] - T603 In Manual,Zone[66].1
Zone[67] -  Zone,Zone[67]
Zone[67] -  In Alarm,Zone[67].0
Zone[67] -  In Manual,Zone[67].1
Zone[68] -  Zone,Zone[68]
Zone[68] -  In Alarm,Zone[68].0
Zone[68] -  In Manual,Zone[68].1
Zone[69] -  Zone,Zone[69]
Zone[69] -  In Alarm,Zone[69].0
Zone[69] -  In Manual,Zone[69].1
Zone[70] - TK100 Zone,Zone[70]
Zone[70] - TK100 In Alarm,Zone[70].0
Zone[70] - TK100 In Manual,Zone[70].1
Zone[71] - T100_HotWaterSystem Zone,Zone[71]
Zone[71] - T100_HotWaterSystem In Alarm,Zone[71].0
Zone[71] - T100_HotWaterSystem In Manual,Zone[71].1
Zone[72] - T100_RecircHotWater Zone,Zone[72]
Zone[72] - T100_RecircHotWater In Alarm,Zone[72].0
Zone[72] - T100_RecircHotWater In Manual,Zone[72].1
Zone[73] - VM3H1 Zone,Zone[73]
Zone[73] - VM3H1 In Alarm,Zone[73].0
Zone[73] - VM3H1 In Manual,Zone[73].1
Zone[74] - VM3H2 Zone,Zone[74]
Zone[74] - VM3H2 In Alarm,Zone[74].0
Zone[74] - VM3H2 In Manual,Zone[74].1
Zone[75] - VM3H3 Zone,Zone[75]
Zone[75] - VM3H3 In Alarm,Zone[75].0
Zone[75] - VM3H3 In Manual,Zone[75].1
Zone[76] - VM5H1 Zone,Zone[76]
Zone[76] - VM5H1 In Alarm,Zone[76].0
Zone[76] - VM5H1 In Manual,Zone[76].1
Zone[76] - VM5H2 Zone,Zone[76]
Zone[76] - VM5H2 In Alarm,Zone[76].0
Zone[76] - VM5H2 In Manual,Zone[76].1
Zone[76] - VM5H3 Zone,Zone[76]
Zone[76] - VM5H3 In Alarm,Zone[76].0
Zone[76] - VM5H3 In Manual,Zone[76].1
Zone[76] - VM5H4 Zone,Zone[76]
Zone[76] - VM5H4 In Alarm,Zone[76].0
Zone[76] - VM5H4 In Manual,Zone[76].1
Zone[76] - VM5H5 Zone,Zone[76]
Zone[76] - VM5H5 In Alarm,Zone[76].0
Zone[76] - VM5H5 In Manual,Zone[76].1
Zone[76] - VM5H6 Zone,Zone[76]
Zone[76] - VM5H6 In Alarm,Zone[76].0
Zone[76] - VM5H6 In Manual,Zone[76].1
Zone[76] - VM5H7 Zone,Zone[76]
Zone[76] - VM5H7 In Alarm,Zone[76].0
Zone[76] - VM5H7 In Manual,Zone[76].1
