T601_ChemAdd$NChemAdd Phase,CIPP[01]
T601_ChemFlsh$NChemFlsh Phase,CIPP[02]
T601_CoolDown$NCoolDown Phase,CIPP[03]
T601_Drain$NDrain Phase,CIPP[04]
T601_FnlRinse$NFnlRinse Phase,CIPP[05]
T601_SoilRinse$NSoilRinse Phase,CIPP[06]
T601_CleanRinse$NCleanRinse Phase,CIPP[07]
T601_Sanitize$NSanitize Phase,CIPP[08]
T601_StpWshFl$NStpWshFl Phase,CIPP[09]
T601_WashDrn$NWashDrn Phase,CIPP[10]
T601_WashFill$NWashFill Phase,CIPP[11]
T602_ChemAdd$NChemAdd Phase,CIPP[12]
T602_ChemFlsh$NChemFlsh Phase,CIPP[13]
T602_CoolDown$NCoolDown Phase,CIPP[14]
T602_Drain$NDrain Phase,CIPP[15]
T602_FnlRinse$NFnlRinse Phase,CIPP[16]
T602_SoilRinse$NSoilRinse Phase,CIPP[17]
T602_CleanRinse$NCleanRinse Phase,CIPP[18]
T602_Sanitize$NSanitize Phase,CIPP[19]
T602_StpWshFl$NStpWshFl Phase,CIPP[20]
T602_WashDrn$NWashDrn Phase,CIPP[21]
T602_WashFill$NWashFill Phase,CIPP[22]
T603_ChemAdd$NChemAdd Phase,CIPP[23]
T603_ChemFlsh$NChemFlsh Phase,CIPP[24]
T603_CoolDown$NCoolDown Phase,CIPP[25]
T603_Drain$NDrain Phase,CIPP[26]
T603_FnlRinse$NFnlRinse Phase,CIPP[27]
T603_SoilRinse$NSoilRinse Phase,CIPP[28]
T603_CleanRinse$NCleanRinse Phase,CIPP[29]
T603_Sanitize$NSanitize Phase,CIPP[30]
T603_StpWshFl$NStpWshFl Phase,CIPP[31]
T603_WashDrn$NWashDrn Phase,CIPP[32]
T603_WashFill$NWashFill Phase,CIPP[33]
VM4H1_T441$NTransferPhase Phase,LDP[001]
VM4H1_T442$NTransferPhase Phase,LDP[002]
VM4H1_T443$NTransferPhase Phase,LDP[003]
VM4H1_T444$NTransferPhase Phase,LDP[004]
VM4H1_T445$NTransferPhase Phase,LDP[005]
VM4H1_T446$NTransferPhase Phase,LDP[006]
VM4H1_Drain$NDrainPhase Phase,LDP[007]
VM4H2_T441$NTransferPhase Phase,LDP[008]
VM4H2_T442$NTransferPhase Phase,LDP[009]
VM4H2_T443$NTransferPhase Phase,LDP[010]
VM4H2_T444$NTransferPhase Phase,LDP[011]
VM4H2_T445$NTransferPhase Phase,LDP[012]
VM4H2_T446$NTransferPhase Phase,LDP[013]
VM4H2_Drain$NDrainPhase Phase,LDP[014]
T342-VM4_VM4H1$NTransferPhase Phase,LDP[015]
T342-VM4_VM4H2$NTransferPhase Phase,LDP[016]
T344_VM4H1$NTransferPhase Phase,LDP[017]
T344_VM4H2$NTransferPhase Phase,LDP[018]
T343-VM4_VM4H1$NTransferPhase Phase,LDP[019]
T343-VM4_VM4H2$NTransferPhase Phase,LDP[020]
T323_VM4H1$NTransferPhase Phase,LDP[021]
T323_VM4H2$NTransferPhase Phase,LDP[022]
T324_T315$NTransferPhase Phase,LDP[023]
T324_T314$NTransferPhase Phase,LDP[024]
